en,es,de,zh,ja,he,id
dog,perro,Hund,狗,犬,כלב,anjing
eye,ojos,Augen,眼睛,目,עין,mata
hand,mano,Hand,手,手,יד,tangan
head,cabeza,Kopf,头,頭,הראש,kepala
face,cara,Gesicht,脸,顔,פנים,wajah
door,seguro,Tür,门,ドア,הדלת,pintu
girl,mujer,Frau,女,女,ילדה,gadis
people,gente,Leute,人,人々,עם,orang
man,hombre,Mann,人,男,איש,pria
boy,chico,Junge,少年,少年,ילד,anak
mother,madre,Mutter,妈妈,母親,אם,ibu
word,palabra,Wort,词,単語,מילה,kata
mom,madre,Mutter,妈妈,母親,אם,ibu
light,luz,Licht,光,光,אור,cahaya
dad,padre,Vater,爸爸,父,אבא,ayah
mouth,boca,Mund,口,口,פה,mulut
kid,hijo,Kinder,孩子,子供,ילד,anak
miss,mujer,Frau,女,女,ילדה,gadis
family,familia,Familie,家,家族,משפחה,keluarga
feet,pie,Fuß,脚,足,הרגל,kaki
brother,hermano,Bruder,弟弟,兄,אח,saudara
person,ser,jemand,人,人,מישהו,orang
heart,corazón,Herz,心,胸,לב,jantung
book,libro,Buch,书,ブック,ספר,buku
world,hombre,Welt,世界,世界,אדם,orang
sister,madre,Mutter,妈妈,母親,אמא,ibu# err
woman,mujer,Frau,女性,女,אישה,wanita
eat,comer,essen,吃,食事,לאכול,makan
couple,par,paar,一些,カップル,כמה,beberapa
food,comida,Essen,食物,食べ物,אוכל,makanan
men,hombre,Mann,人,男,איש,pria
money,dinero,Geld,钱,お金,כסף,uang
game,juego,Spiel,比赛,ゲーム,משחק,permainan
party,fiesta,Party,党,パーティー,מסיבה,pesta
horse,caballo,Ross,马,馬,סוס,kuda
mum,madre,Mutter,妈妈,母親,אם,ibu
sun,sol,Sonne,太阳,日,השמש,matahari
foot,pie,Fuß,脚,足,הרגל,kaki
doctor,doctor,Arzt,医师,医者,דוקטור,dokter
child,niño,Kind,孩子,子供,ילד,anak
city,ciudad,Stadt,城,町,עיר,kota
business,negocio,Geschäft,企业,ビジネス,עסקים,perusahaan
children,hijo,Kinder,孩子,子供,ילד,anak
daughter,hijo,Tochter,女儿,娘,בת,anak
girlfriend,chica,Freundin,对象,恋人,חברה,gadis
wind,aire,Wind,风,風,רוח,angin
human,hombre,Mensch,人,人,אדם,orang
son,hijo,Sohn,儿子,息子,בן,putra
pop,papá,Papa,爸爸,お父さん,אבא,ayah
study,tomar,nehmen,学习,学習,לקחת,makan
police,policía,Polizei,警察,警察,המשטרה,polisi
self,yo,selbst,自我,自己,עצמי,diri
wife,mujer,Frau,太太,女,אישה,istri
position,dejar,stellen,放,設定,לשים,posisi
women,mujer,Frau,女性,女,אישה,wanita
evening,noche,auch,甚至,夜,אפילו,malam
company,compañía,Geschäft,公司,会社,חברה,perusahaan
earth,mundo,Welt,世界,世界,העולם,dunia
husband,hombre,Mann,先生,夫,בעל,suami
king,rey,König,王,王,המלך,raja
tea,te,Tee,茶,お茶,תה,teh
dollar,dólares,Dollar,元,ドル,דולר,dolar
airplane,avión,Flugzeug,飞机,航空機,מטוס,pesawat
sea,mar,Meer,海,海,ים,laut
female,mujer,Frau,女性,女,אישה,wanita
ship,nave,Schiff,船,船,הספינה,kapal
moon,luna,Monat,月,月,חודש,bulan
cop,policía,Polizist,警察,警察,שוטר,polisi
plenty,montón,viel,很多,たくさん,הרבה,banyak
master,señor,Meister,主人,マスター,אדון,tuan
wine,vino,Wein,酒,ワイン,יין,anggur
photo,foto,Bild,照片,画像,תמונה,foto
