en,es,de,zh,ja,he,id
eye,ojo,auge,眼睛,目,עין,mata
room,habitación,raum,房间,部屋,חדר,kamar
girl,muchacha,mädchen,女孩,女の子,ילדה,gadis
person,persona,person,人,人,אדם,orang
man,hombre,mann,男人,男,גבר,laki-laki
hair,pelo,haare,毛,毛,שיער,rambut
car,coche,auto,汽车,車,מכונית,mobil
kitchen,cocina,küche,厨房,台所,מטבח,dapur
woman,mujer,frau,女人,女性,אישה,wanita
beer,cerveza,bier,啤酒,ビール,בירה,bir
bird,pájaro,vogel,鸟,鳥,ציפור,burung
pizza,pizza,pizza,比萨饼,ピザ,פיצה,pizza
airplane,avión,flugzeug,飞机,飛行機,מטוס,pesawat
garden,jardín,garten,花园,庭,גן,kebun
meal,comida,mahlzeit,餐,食事,קמח,makanan
apple,manzana,apfel,苹果,リンゴ,תפוח,apel
keyboard,teclado,tastatur,键盘,キーボード,מקלדת,keyboard
tiger,tigre,tiger,老虎,虎,נמר,harimau
house,casa,haus,房子,家,בית,rumah
cloud,nube,wolke,云,雲,ענן,awan
raccoon,mapache,waschbär,浣熊,アライグマ,דביבון,rakun
train,tren,zug,火车,列車,רכבת,kereta
tractor,tractor,traktor,拖拉机,トラクター,טרקטור,traktor
moon,luna,mond,月亮,月,ירח,bulan
clothes,ropa,kleidung,衣服,服,בגדים,pakaian
fire,fuego,feuer,火,火,אש,kebakaran
dog,perro,hund,狗,犬,כלב,anjing
snow,nieve,schnee,雪,雪,שלג,salju
